timestamp,sensor_id,sensor_name,lat,lon,severity_score,pollution_category,is_anomaly,alert_level,ph,conductivity,do_level,turbidity
2024-01-01T00:00:00Z,STN_001,Wazirabad Barrage,28.6689529,77.2358125,0.08,NORMAL,false,GREEN,7.2,420,7.0,10
2024-01-01T12:00:00Z,STN_001,Wazirabad Barrage,28.6689529,77.2358125,0.12,NORMAL,false,GREEN,7.0,480,6.5,15
2024-01-01T00:00:00Z,STN_002,Old Railway Bridge,28.6591811,77.2582841,0.25,AGRICULTURAL_RUNOFF,false,YELLOW,6.7,620,5.5,28
2024-01-01T12:00:00Z,STN_002,Old Railway Bridge,28.6591811,77.2582841,0.45,SEWAGE_ORGANIC,false,ORANGE,6.2,850,4.2,52
2024-01-01T00:00:00Z,STN_003,ITO Bridge,28.6521342,77.2626936,0.42,SEWAGE_ORGANIC,false,ORANGE,6.3,820,4.0,58
2024-01-01T12:00:00Z,STN_003,ITO Bridge,28.6521342,77.2626936,0.55,INDUSTRIAL_CHEMICAL,false,ORANGE,5.8,1050,3.2,82
2024-01-01T00:00:00Z,STN_004,Nizamuddin Bridge,28.6015255,77.2608054,0.55,INDUSTRIAL_CHEMICAL,false,ORANGE,5.6,1200,3.0,95
2024-01-01T12:00:00Z,STN_004,Nizamuddin Bridge,28.6015255,77.2608054,0.78,INDUSTRIAL_CHEMICAL,true,RED,4.5,2100,2.0,145
2024-01-01T00:00:00Z,STN_005,Sarai Kale Khan,28.5861798,77.2813296,0.48,THERMAL_DISCHARGE,false,ORANGE,6.8,520,3.8,38
2024-01-01T12:00:00Z,STN_005,Sarai Kale Khan,28.5861798,77.2813296,0.65,THERMAL_DISCHARGE,true,RED,6.5,580,2.6,52
2024-01-01T00:00:00Z,STN_006,Okhla Barrage,28.5444696,77.3149162,0.68,INDUSTRIAL_CHEMICAL,true,RED,4.8,1850,2.2,135
2024-01-01T12:00:00Z,STN_006,Okhla Barrage,28.5444696,77.3149162,0.72,INDUSTRIAL_CHEMICAL,true,RED,4.5,1920,2.0,145
2024-01-01T00:00:00Z,STN_007,Kalindi Kunj,28.5315889,77.3309392,0.35,SEWAGE_ORGANIC,false,YELLOW,6.6,680,5.0,42
2024-01-01T12:00:00Z,STN_007,Kalindi Kunj,28.5315889,77.3309392,0.52,SEWAGE_ORGANIC,false,ORANGE,6.0,920,4.0,72
2024-01-01T00:00:00Z,STN_008,Faridabad Border,28.485214,77.3595106,0.88,INDUSTRIAL_CHEMICAL,true,RED,3.5,2850,1.2,195
2024-01-01T12:00:00Z,STN_008,Faridabad Border,28.485214,77.3595106,0.92,INDUSTRIAL_CHEMICAL,true,RED,3.2,3100,1.0,210
2024-06-15T00:00:00Z,STN_001,Wazirabad Barrage,28.6689529,77.2358125,0.15,NORMAL,false,GREEN,7.0,480,6.5,15
2024-06-15T12:00:00Z,STN_001,Wazirabad Barrage,28.6689529,77.2358125,0.22,AGRICULTURAL_RUNOFF,false,YELLOW,6.7,580,5.8,25
2024-06-15T00:00:00Z,STN_004,Nizamuddin Bridge,28.6015255,77.2608054,0.68,INDUSTRIAL_CHEMICAL,true,RED,5.0,1650,2.5,125
2024-06-15T12:00:00Z,STN_004,Nizamuddin Bridge,28.6015255,77.2608054,0.92,INDUSTRIAL_CHEMICAL,true,RED,3.2,3100,1.0,210
2024-06-15T12:00:00Z,STN_008,Faridabad Border,28.485214,77.3595106,0.95,INDUSTRIAL_CHEMICAL,true,RED,2.8,3650,0.5,255
