src,dst,cluster,distance_km,weight,edge_type
3821,2222,BRAHMAPUTRA,37.135908558877134,0.4758187991987988,downstream
1263,2215,BRAHMAPUTRA,14.635940524873424,0.7462319437876725,downstream
3787,4006,BRAHMAPUTRA,48.70322011049274,0.37754541903349276,downstream
4337,3775,BRAHMAPUTRA,22.718144814452838,0.6348523058919339,downstream
3812,3809,BRAHMAPUTRA,18.493369915804575,0.6908259292456612,downstream
3783,2205,BRAHMAPUTRA,31.299564389285777,0.5347310933035733,downstream
3800,2225,BRAHMAPUTRA,15.277929912104542,0.7367117335521169,downstream
3808,1263,BRAHMAPUTRA,13.281504933287344,0.7667226867981535,downstream
3798,2214,BRAHMAPUTRA,1.7939034927988613,0.9647579193839634,downstream
2215,2214,BRAHMAPUTRA,39.898887143652175,0.4502385422076652,downstream
3814,2216,BRAHMAPUTRA,1.0251351965900604,0.9797060474125989,downstream
3804,3800,BRAHMAPUTRA,38.31438303572778,0.46473512436486,downstream
3819,3808,BRAHMAPUTRA,32.352073576537855,0.5235925510134135,downstream
2214,2212,BRAHMAPUTRA,110.95137530752784,0.10871478189015844,downstream
2219,3812,BRAHMAPUTRA,18.84917638031651,0.6859273726686724,downstream
2208,1532,BRAHMAPUTRA,3.1405415999876345,0.9391211085492822,downstream
3772,2227,BRAHMAPUTRA,15.211019258922262,0.7376982707693679,downstream
2216,3819,BRAHMAPUTRA,0.9591355750186391,0.9810001058659953,downstream
2209,1532,BRAHMAPUTRA,8.538619681822802,0.8430134268577718,downstream
2212,2210,BRAHMAPUTRA,60.65266099405348,0.2972882060744821,downstream
2227,2205,BRAHMAPUTRA,53.011589798328735,0.3463755125773337,downstream
2213,3809,BRAHMAPUTRA,29.77721130916938,0.5512624727443824,downstream
1532,3775,BRAHMAPUTRA,19.687806745154916,0.6745185277113258,downstream
3809,2216,BRAHMAPUTRA,0.5668660911730447,0.9887267034229056,downstream
2223,3821,BRAHMAPUTRA,18.133815843865865,0.6958116195304787,downstream
4006,4334,BRAHMAPUTRA,14.508408348965824,0.7481377449345765,downstream
2211,3798,BRAHMAPUTRA,32.327445180936145,0.5238505194312896,downstream
2222,2219,BRAHMAPUTRA,86.70901396448892,0.17654485846535445,downstream
2224,2223,BRAHMAPUTRA,20.766982973027908,0.6601160279683915,downstream
2210,2209,BRAHMAPUTRA,38.85483723517448,0.45973881478370554,downstream
2226,2208,BRAHMAPUTRA,1.3069891139884342,0.9741989043470302,downstream
2217,3814,BRAHMAPUTRA,4.129979566726896,0.9207197375832027,downstream
3775,2227,BRAHMAPUTRA,5.5707557220557,0.8945673240276919,downstream
4334,2226,BRAHMAPUTRA,12.111966751341287,0.7848683085932233,downstream
4085,2390,GANGA,63.31403181000781,0.28187808162234,downstream
2396,4085,GANGA,10.610125427989479,0.808800891877262,downstream
3554,2390,GANGA,1.988531384820192,0.9610098429155456,downstream
2390,3555,GANGA,3.9301690504545785,0.9244064889158893,downstream
